1,2,17,57
1,2,17,97
1,2,18,58
1,2,18,97
1,2,57,58
1,9,10,65
1,9,10,97
1,9,17,97
1,9,17,105
1,9,65,105
1,10,18,97
1,10,18,106
1,10,65,106
1,17,57,105
1,18,58,106
1,25,57,58
1,25,57,105
1,25,58,106
1,25,65,105
1,25,65,106
2,11,12,66
2,11,12,97
2,11,17,97
2,11,17,107
2,11,66,107
2,12,18,97
2,12,18,108
2,12,66,108
2,17,57,107
2,18,58,108
2,26,57,58
2,26,57,107
2,26,58,108
2,26,66,107
2,26,66,108
3,4,19,59
3,4,19,97
3,4,20,60
3,4,20,97
3,4,59,60
3,9,10,67
3,9,10,97
3,9,19,97
3,9,19,109
3,9,67,109
3,10,20,97
3,10,20,110
3,10,67,110
3,19,59,109
3,20,60,110
3,27,59,60
3,27,59,109
3,27,60,110
3,27,67,109
3,27,67,110
4,11,12,68
4,11,12,97
4,11,19,97
4,11,19,111
4,11,68,111
4,12,20,97
4,12,20,112
4,12,68,112
4,19,59,111
4,20,60,112
4,28,59,60
4,28,59,111
4,28,60,112
4,28,68,111
4,28,68,112
5,6,21,61
5,6,21,98
5,6,22,62
5,6,22,98
5,6,61,62
5,13,14,69
5,13,14,98
5,13,21,98
5,13,21,113
5,13,69,113
5,14,22,98
5,14,22,114
5,14,69,114
5,21,61,113
5,22,62,114
5,29,61,62
5,29,61,113
5,29,62,114
5,29,69,113
5,29,69,114
6,15,16,70
6,15,16,98
6,15,21,98
6,15,21,115
6,15,70,115
6,16,22,98
6,16,22,116
6,16,70,116
6,21,61,115
6,22,62,116
6,30,61,62
6,30,61,115
6,30,62,116
6,30,70,115
6,30,70,116
7,8,23,63
7,8,23,98
7,8,24,64
7,8,24,98
7,8,63,64
7,13,14,71
7,13,14,98
7,13,23,98
7,13,23,117
7,13,71,117
7,14,24,98
7,14,24,118
7,14,71,118
7,23,63,117
7,24,64,118
7,31,63,64
7,31,63,117
7,31,64,118
7,31,71,117
7,31,71,118
8,15,16,72
8,15,16,98
8,15,23,98
8,15,23,119
8,15,72,119
8,16,24,98
8,16,24,120
8,16,72,120
8,23,63,119
8,24,64,120
8,32,63,64
8,32,63,119
8,32,64,120
8,32,72,119
8,32,72,120
9,10,65,67
9,17,19,49
9,17,19,97
9,17,49,105
9,19,49,109
9,33,49,105
9,33,49,109
9,33,65,67
9,33,65,105
9,33,67,109
10,18,20,50
10,18,20,97
10,18,50,106
10,20,50,110
10,34,50,106
10,34,50,110
10,34,65,67
